και	c e
χρηματοδοτήθηκε	x r i m a t o ð o t ì θ i c e
ουδ	u ð
κατοικήσει	k a t i c ì s i
ρίχνεται	r ì x n e t e
απαντήστε	a p a d ì s t e
εντάξουν	e d à k s u n
φανούμε	f a n ù m e
κοτέτσι	k o t è t s i
βιβλίον	v i v l ì o n
άθω	à θ o
μαθαίναμε	m a θ è n a m e
εικαστικές	i k a s t i c è s
καθαρίζω	k a θ a r ì z o
κλέβω	k l è v o
αλλοίμονο	a l ì m o n o
μαρτυρείται	m a r t i r ì t e
απατηλή	a p a t i l ì
ξενύχτι	k s e n ì x t i
κομμουνιστικές	k o m u n i s t i c è s
καπιταλιστή	k a p i t a l i s t ì
προκαταρκτικά	p r o k a t a r k t i k à
ηλεκ	i l e k
χρηματοοικονομικής	x r i m a t o i k o n o m i c ì s
πυκνές	p i k n è s
προφητικά	p r o f i t i k à
σάμος	s à m o s
στέγαστρο	s t è ɣ a s t r o
δερματίτιδα	ð e r m a t ì t i ð a
παραγωγη	p a r a ɣ o ʝ i
τουρκοκυπρίους	t u r k o c i p r ì u s
υτα	i t a
συνομιλούν	s i n o m i l ù n
επιθυμούσαμε	e p i θ i m ù s a m e
έκτισαν	è k t i s a n
ίωνες	ì o n e s
αμφισβητήσω	a m f i s v i t ì s o
γκρινιάζουμε	g r i ɲ à z u m e
τελικοί	t e l i c ì
παλινόρθωση	p a l i n ò r θ o s i
καθαρίσω	k a θ a r ì s o
εμπειριες	e b i r i/j e s
αϊτή	a i t ì
πολύδωρα	p o l ì ð o r a
οίστρο	ì s t r o
βλήμα	v l ì m a
διαφθείρει	ð i/j a f θ ì r i
επικίνδυνης	e p i c ì n ð i n i s
ομορφότερη	o m o r f ò t e r i
αποκαθίσταται	a p o k a θ ì s t a t e
κατάσκοπος	k a t à s k o p o s
βίλχελμ	v ì l ç e l m
πορτογάλοι	p o r t o ɣ à l i
εκτιμήσεως	e k t i m ì s e o s
χρησιμοποιείτο	x r i s i m o p ç e ì t o
γραφουν	ɣ r a f u n
παρονομαστής	p a r o n o m a s t ì s
σακί	s a c ì
παρεμφερείς	p a r e m f e r ì s
αγαπητού	a ɣ a p i t ù
σωληνώσεων	s o l i n ò s e o n
τόλκιν	t ò l c i n
κσ	k s
εκπαιδευόμενους	e k p e ð e v ò m e n u s
αρχιτεκτονικών	a r ç i t e k t o n i k ò n
μεγεθος	m e ʝ e θ o s
βολεύονται	v o l è v o d e
ποτηράκι	p o t i r à c i
κάρα	k à r a
αιτωλοακαρνανία	e t o l o a k a r n a n ì a
περιστολή	p e r i s t o l ì
απαγορευμένων	a p a ɣ o r e v m è n o n
αριστείδη	a r i s t ì ð i
αρχιζει	a r ç i z i
αζήτητα	a z ì t i t a
απογοητεύτηκα	a p o ɣ o i t è f t i k a
πανταζής	p a d a z ì s
αρχιπέλαγος	a r ç i p è l a ɣ o s
συχνός	s i x n ò s
εγκληματικών	e g l i m a t i k ò n
βολεμένοι	v o l e m è n i
αυτάρεσκο	a f t à r e s k o
γράφοντος	ɣ r à f o d o s
εξηγείτε	e k s i ʝ ì t e
συνδικαλιστής	s i n ð i k a l i s t ì s
ρουμάνος	r u m à n o s
ζωγράφων	z o ɣ r à f o n
δεινότητα	ð i n ò t i t a
συγγράψει	s i g r à p s i
βέμπο	v è b o
ποτίζει	p o t ì z i
εμπνευστές	e b n e f s t è s
αντικρίζει	a d i k r ì z i
συντέλεια	s i d è l i a
καισαρική	c e s a r i c ì
παρομοιο	p a r o m i o
βασανίζεται	v a s a n ì z e t e
υπογράφοντας	i p o ɣ r à f o d a s
ενδιαφερομένους	e n ð i/j a f e r o m è n u s
ξαναπάρει	k s a n a p à r i
επιβαίνοντες	e p i v è n o d e s
στοιχίζουν	s t i ç ì z u n
αειφορία	a i f o r ì a
φωτεινός	f o t i n ò s
μουλάρια	m u l à r i/j a
εκφοβισμού	e k f o v i z m ù
ηλεκτρολόγος	i l e k t r o l ò ɣ o s
γεωργιου	ʝ e o r ʝ u
συντομεύσεις	s i d o m è f s i s
τζούνιορ	t z ù ɲ o r
κεντροαριστερά	c e d r o a r i s t e r à
ενόραση	e n ò r a s i
προσκληση	p r o s k l i s i
διάσημες	ð ʝ à s i m e s
ρωτήσατε	r o t ì s a t e
καρράς	k a r à s
μορφολογικά	m o r f o l o ʝ i k à
καταργήθηκαν	k a t a r ʝ ì θ i k a n
κύπριου	c ì p r i/j u
προϊστορική	p r o i s t o r i c ì
περιποίησης	p e r i p ì i s i s
γκερέκου	ɟ e r è k u
εξάρτησή	e k s à r t i s ì
κτηνωδία	k t i n o ð ì a
σιγουριάς	s i ɣ u r ʝ à s
εξασκεί	e k s a s c ì
οσάκις	o s à c i s
εξυπηρετούσαν	e k s i p i r e t ù s a n
υπέγραφε	i p è ɣ r a f e
προβληματικής	p r o v l i m a t i c ì s
συντονιστικής	s i d o n i s t i c ì s
ψαρευμένοι	p s a r e v m è n i
παπαγιαννησ	p a p a ʝ a n i s
στενεύει	s t e n è v i
χονδρικά	x o n ð r i k à
τροποποιηθούν	t r o p o p i i θ ù n
χορωδίας	x o r o ð ì a s
ιεραρχών	i e r a r x ò n
άλυτα	à l i t a
ρίξαμε	r ì k s a m e
εργοδοσίας	e r ɣ o ð o s ì a s
απηχούν	a p i x ù n
οικογενειακός	i k o ʝ e n i a k ò s
σόρρυ	s ò r i
νεοελληνικών	n e o e l i n i k ò n
γωνιακό	ɣ o ɲ a k ò
γκόμενος	g ò m e n o s
υποστηρίξετε	i p o s t i r ì k s e t e
λαίδη	l è ð i
επιλέχτηκε	e p i l è x t i c e
εργαστηριακά	e r ɣ a s t i r i/j a k à
καταχρηστικά	k a t a x r i s t i k à
δύναμαι	ð ì n a m e
στοχο	s t o x o
εμιράτα	e m i r à t a
διαδόχους	ð i/j a ð ò x u s
αυτοκινητοβιομηχανίες	a f t o c i n i t o v i/j o m i x a n ì e s
όμορφης	ò m o r f i s
παραδειγματα	p a r a ð i ɣ m a t a
μόν	m ò n
θύτης	θ ì t i s
πλουσιότεροι	p l u s ç ò t e r i
ευάγγελο	e v à ɟ e l o
ανεκτίμητο	a n e k t ì m i t o
απογειωθεί	a p o ʝ i o θ ì
αντιστοιχούσαν	a d i s t i x ù s a n
εξαιρετικών	e k s e r e t i k ò n
δημοτικούς	ð i m o t i k ù s
ακτιβιστής	a k t i v i s t ì s
υπαινίσσεται	i p e n ì s e t e
εγκλωβισμένος	e g l o v i z m è n o s
ολοκληρωτικής	o l o k l i r o t i c ì s
στάσιμη	s t à s i m i
εκτοξεύονται	e k t o k s è v o d e
κακομοίρη	k a k o m ì r i
παράπονά	p a r à p o n à
ελαιόλαδου	e l e ò l a ð u
δικτυο	ð i k t i o
γαλάζιες	ɣ a l à z i/j e s
ανακτήσουν	a n a k t ì s u n
κεράκια	c e r à c a
προσκυνητών	p r o s c i n i t ò n
κυβερνάται	c i v e r n à t e
λογάκια	l o ɣ à c a
διαμπερές	ð i/j a b e r è s
αρθούν	a r θ ù n
οιδίπους	i ð ì p u s
ψήφιζαν	p s ì f i z a n
φύσηξε	f ì s i k s e
φαίνεσθαι	f è n e s θ e
καταχρηστική	k a t a x r i s t i c ì
συγχαίρει	s i ɣ ç è r i
οπτασία	o p t a s ì a
λατ	l a t
φιλόλογοι	f i l ò l o ʝ i
προβλήθηκαν	p r o v l ì θ i k a n
χαλάρωσε	x a l à r o s e
έσφαξαν	è s f a k s a n
μπούμερανγκ	b ù m e r a ŋ g
βουλιάξει	v u ʎ à k s i
χιονίζει	ç o n ì z i
πολιτικοι	p o l i t i c i
τραπεζίτη	t r a p e z ì t i
δημοσιεύσουμε	ð i m o s i è f s u m e
λκν	l k n
προσθετη	p r o s θ e t i
συζητούσε	s i z i t ù s e
πτολεμαΐδας	p t o l e m a ì ð a s
τροπους	t r o p u s
ζουράρις	z u r à r i s
ψυχολόγου	p s i x o l ò ɣ u
επιπολαιότητα	e p i p o l e ò t i t a
λούης	l ù i s
σηκώθηκαν	s i k ò θ i k a n
καρπούζια	k a r p ù z i/j a
εορταστικές	e o r t a s t i c è s
όπερες	ò p e r e s
άθλο	à θ l o
πενιχρά	p e n i x r à
καρακωστασ	k a r a k o s t a s
μόλυβδος	m ò l i v ð o s
ταλανίζει	t a l a n ì z i
μολδαβίας	m o l ð a v ì a s
σκαρφαλώνει	s k a r f a l ò n i
αγνοήσουν	a ɣ n o ì s u n
καμπότζης	k a b ò t z i s
θρέφει	θ r è f i
υπερβάσεις	i p e r v à s i s
ανακτόρου	a n a k t ò r u
άλατος	à l a t o s
μωρίς	m o r ì s
τινάξει	t i n à k s i
υποκατάσταση	i p o k a t à s t a s i
νευρικές	n e v r i c è s
νοτιοδυτική	n o t i/j o ð i t i c ì
κουνούπι	k u n ù p i
ελεφαντοστού	e l e f a d o s t ù
μαστογραφία	m a s t o ɣ r a f ì a
σάκος	s à k o s
υποστηριχθούν	i p o s t i r i x θ ù n
ρασπούτιν	r a s p ù t i n
γινόμουν	ʝ i n ò m u n
βάφτισε	v à f t i s e
γεμίζουμε	ʝ e m ì z u m e
καταναλώνετε	k a t a n a l ò n e t e
κουσούρι	k u s ù r i
γραβάτες	ɣ r a v à t e s
μαϊμούδες	m a i m ù ð e s
χαρακτηρίσουν	x a r a k t i r ì s u n
απλούστερα	a p l ù s t e r a
σπασμένες	s p a z m è n e s
ηχηρά	i ç i r à
φόρτωμα	f ò r t o m a
τρατου	t r a t u
μετέωρο	m e t è o r o
κανών	k a n ò n
ανατρέξει	a n a t r è k s i
μελετήσετε	m e l e t ì s e t e
δεχτήκαμε	ð e x t ì k a m e
σχολαστική	s x o l a s t i c ì
πορτοκαλιού	p o r t o k a ʎ ù
αεπι	a e p i
τριήμερη	t r i ì m e r i
γραφίστας	ɣ r a f ì s t a s
τετραπλάσιος-ενισχυμένη	t e t r a p l à s i/j o s - e n i s ç i m è n i
ανταγωνιστικής	a d a ɣ o n i s t i c ì s
χατζηγάκης	x a t z i ɣ à c i s
κονδύλης	k o n ð ì l i s
κόσμω	k ò z m o
αναδιάταξη	a n a ð ʝ à t a k s i
συνεταιρισμών	s i n e t e r i z m ò n
τραίνα	t r è n a
ψύχρα	p s ì x r a
αμφίβολης	a m f ì v o l i s
αποκλειστικα	a p o k l i s t i k a
επαναλάμβανε	e p a n a l à m v a n e
τετραγώνου	t e t r a ɣ ò n u
περιπλανήσεις	p e r i p l a n ì s i s
ζαλάδα	z a l à ð a
συνδικαλισμός	s i n ð i k a l i z m ò s
ισχύουσας	i s ç ì u s a s
άιρες	à i r e s
ενστίκτων	e n s t ì k t o n
χιλιομετρα	ç i ʎ o m e t r a
κεντροδεξιά	c e d r o ð e k s i à
επιλεγμένους	e p i l e ɣ m è n u s
μάστερ	m à s t e r
υποδοχέων	i p o ð o ç è o n
ρωμαίο	r o m è o
πυροδοτήσει	p i r o ð o t ì s i
νομαρχιακών	n o m a r ç a k ò n
πιστέψαμε	p i s t è p s a m e
χωρισμένο	x o r i z m è n o
νοσηρή	n o s i r ì
απλωνόταν	a p l o n ò t a n
συγκεντρώσουμε	s i ɟ e d r ò s u m e
μετασχηματίζεται	m e t a s ç i m a t ì z e t e
αμετάκλητη	a m e t à k l i t i
απόμεινε	a p ò m i n e
εοφ	e o f
συνοπτικό	s i n o p t i k ò
περπατούσα	p e r p a t ù s a
παρατηρείτε	p a r a t i r ì t e
αρσινόη	a r s i n ò i
φόνοι	f ò n i
γίδια	ʝ ì ð i/j a
μεταβλητό	m e t a v l i t ò
παρενεργειών	p a r e n e r ʝ i ò n
ομορφότερο	o m o r f ò t e r o
πεζοναύτες	p e z o n à f t e s
εξάντας	e k s à d a s
υπέρογκα	i p è r o g a
ονομάζετε	o n o m à z e t e
αληθινών	a l i θ i n ò n
κολλήσεις	k o l ì s i s
έμπειρα	è b i r a
ασθενές	a s θ e n è s
σιωπά	s i/j o p à
νάρθηκα	n à r θ i k a
οικοδομήσουν	i k o ð o m ì s u n
πονούν	p o n ù n
βεβαιώσει	v e v e ò s i
ελληνίδας	e l i n ì ð a s
προσκόμιση	p r o s k ò m i s i
οπισθόφυλλο	o p i s θ ò f i l o
μεταναστεύουν	m e t a n a s t è v u n
άρδευσης	à r ð e f s i s
ριγέ	r i ʝ è
καπάκια	k a p à c a
έπί	è p ì
στάη	s t à i
πεθανε	p e θ a n e
οντολογία	o d o l o ʝ ì a
δυστυχισμένη	ð i s t i ç i z m è n i
χαίρεστε	ç è r e s t e
εργασιασ	e r ɣ a s i/j a s
σπρώξιμο	s p r ò k s i m o
ιδεί	i ð ì
δείπνου	ð ì p n u
αφήναμε	a f ì n a m e
επιληψίας	e p i l i p s ì a s
αμορτισέρ	a m o r t i s è r
κλινικό	k l i n i k ò
οπλιτών	o p l i t ò n
μανουέλ	m a n u è l
μωράκια	m o r à c a
ηλιοθεραπεία	i ʎ o θ e r a p ì a
δολοφονεί	ð o l o f o n ì
γνωστα	ɣ n o s t a
παρηγορεί	p a r i ɣ o r ì
υποβάλλω	i p o v à l o
μπασκετ	b a s c e t
παρεπιπτόντως	p a r e p i p t ò d o s
μελίσσια	m e l ì s s i/j a
πολύτιμοι	p o l ì t i m i
διαλεύκανση	ð i/j a l è v k a n s i
δουλειες	ð u l i e s
υπερασπίσουν	i p e r a s p ì s u n
καταξιωμένους	k a t a k s i o m è n u s
υποτιθέμενης	i p o t i θ è m e n i s
κολοκύθια	k o l o c ì θ i/j a
πολιτισμου	p o l i t i z m u
νύξη	n ì k s i
χάλκης	x à l c i s
συμμαθητής	s i m a θ i t ì s
εκλεγμένους	e k l e ɣ m è n u s
μολότωφ	m o l ò t o f
ευρύτητα	e v r ì t i t a
ηγεσιών	i ʝ e s ç ò n
εγκατεστημένοι	e g a t e s t i m è n i
περιττώματα	p e r i t ò m a t a
παιδίατρο	p e ð ì a t r o
απαλλάσσεται	a p a l à s e t e
μακροπρόθεσμων	m a k r o p r ò θ e z m o n
εγωιστική	e ɣ o i s t i c ì
πληρωμάτων	p l i r o m à t o n
φιλοξενούμενων	f i l o k s e n ù m e n o n
πανελληνιο	p a n e l i ɲ o
μοιαζει	m i a z i
πρόλαβες	p r ò l a v e s
ουγγρική	u g r i c ì
εκτάσεως	e k t à s e o s
τσιράκια	t s i r à c a
τηλεοράσεων	t i l e o r à s e o n
ώμου	ò m u
λύτρα	l ì t r a
δηλωση	ð i l o s i
πεινάνε	p i n à n e
κατήργησε	k a t ì r ʝ i s e
δημοσιεύετε	ð i m o s i/j e ì e t e
σηκωθούν	s i k o θ ù n
υποκαθιστά	i p o k a θ i s t à
διορθωτικά	ð i/j o r θ o t i k à
ποίον	p ì o n
απηύθυναν	a p i ì θ i n a n
εχθροπραξιών	e x θ r o p r a k s i ò n
αμελητέο	a m e l i t è o
αγόραζα	a ɣ ò r a z a
αργυρά	a r ʝ i r à
ξεπήδησε	k s e p ì ð i s e
ποιών	p i ò n
αγιογραφίες	a ʝ o ɣ r a f ì e s
γλιτώνει	ɣ l i t ò n i
κραταει	k r a t a i
πλάσει	p l à s i
εξορίες	e k s o r ì e s
συγκεντρωτική	s i ɟ e d r o t i c ì
δινω	ð i n o
σπούδασα	s p ù ð a s a
παρασκευάς	p a r a s c e v à s
γλουτένη	ɣ l u t è n i
λουριά	l u r ʝ à
μεταστάσεις	m e t a s t à s i s
ρωμαιοκαθολικής	r o m e o k a θ o l i c ì s
γνωριστήκαμε	ɣ n o r i s t ì k a m e
δίψας	ð ì p s a s
ανηθικότητας	a n i θ i k ò t i t a s
προσήλωσή	p r o s ì l o s ì
προφητικό	p r o f i t i k ò
δεκα	ð e k a
ταση	t a s i
άγριου	à ɣ r i/j u
μετεγγραφή	m e t e g r a f ì
εισαγάγετε	i s a ɣ à ʝ e t e
φραγκίσκος	f r a ɟ ì s k o s
πολύχρωμη	p o l ì x r o m i
δευτερογενή	ð e f t e r o ʝ e n ì
πιανίστα	p i/j a n ì s t a
βραχίονας	v r a ç ì o n a s
προτεραιότητά	p r o t e r e ò t i t à
πρόγραμα	p r ò ɣ r a m a
βλέποντάς	v l è p o d à s
γκράφιτι	g r à f i t i
νομοθεσια	n o m o θ e s i/j a
στηριχθούν	s t i r i x θ ù n
συνωστίζονται	s i n o s t ì z o d e
προξενούν	p r o k s e n ù n
επιβεβαιωθούν	e p i v e v e o θ ù n
εκπροσωπώντας	e k p r o s o p ò d a s
μαζίνιο	m a z ì ɲ o
αιωνίου	e o n ì u
φιλοξενηθεί	f i l o k s e n i θ ì
αναγνωρισμένους	a n a ɣ n o r i z m è n u s
δανείζουν	ð a n ì z u n
εκπληκτικός	e k p l i k t i k ò s
μεταφραστική	m e t a f r a s t i c ì
εναντια	e n a d i/j a
εργαστηριακή	e r ɣ a s t i r i/j a c ì
βουγιουκλάκη	v u ʝ u k l à c i
ευρύχωρο	e v r ì x o r o
ραδιενεργών	r a ð i/j e n e r ɣ ò n
αναζήτησαν	a n a z ì t i s a n
σπάνιος	s p à ɲ o s
βίντεό	v ì d e ò
άτιμη	à t i m i
διαισθητικά	ð i/j a i s θ i t i k à
ανεκτικότητας	a n e k t i k ò t i t a s
ελαίων	e l è o n
λειτουργού	l i t u r ɣ ù
φημολογία	f i m o l o ʝ ì a
ερευνήσουν	e r e v n ì s u n
αργίας	a r ʝ ì a s
αλάνα	a l à n a
εκκαθαρίσεις	e k a θ a r ì s i s
ρυθμιστικού	r i θ m i s t i k ù
γείτονος	ʝ ì t o n o s
σύνταξή	s ì d a k s ì
ενεργειακός	e n e r ʝ i a k ò s
ειδη	i ð i
συνάρτησης	s i n à r t i s i s
ανώνυμης	a n ò n i m i s
ντένβερ	d è n v e r
αναδυόμενων	a n a ð i ò m e n o n
ψαράκι	p s a r à c i
